postal_code,tzid,long,lat
04757,America/New_York,-68.17241845869349,46.66260063361134
04758,America/New_York,-67.84723714709192,46.55423521972559
04760,America/New_York,-67.93634786003295,46.346744475788924
04975,America/New_York,-69.58833377626225,44.62535402243986
04976,America/New_York,-69.66954027222994,44.798716335566525
04426,America/New_York,-69.1833217422974,45.21945044074652
04427,America/New_York,-69.01088270676618,44.98053832427521
04428,America/New_York,-68.55583610607505,44.80644236372432
04429,America/New_York,-68.61647097178792,44.72074006632762
04430,America/New_York,-68.58516818079258,45.63920076915566
04431,America/New_York,-68.67060056809252,44.562196896638845
04434,America/New_York,-69.13366972318656,44.78533395894571
04435,America/New_York,-69.13550117070966,44.96438311453425
04438,America/New_York,-68.91907737923566,44.5985666703826
04441,America/New_York,-69.47492519057349,45.893743556922715
04442,America/New_York,-69.69388750749849,45.47951951584266
04443,America/New_York,-69.39907622893496,45.224122062072645
04444,America/New_York,-68.94592415760967,44.725939589560525
04448,America/New_York,-68.70996063261734,45.318657985102895
04761,America/New_York,-67.9714187367843,46.1183760959393
04762,America/New_York,-68.13496690101223,46.97073140953683
04763,America/New_York,-68.1036035488684,46.08056791097415
04764,America/New_York,-68.5682835124234,46.418765478897754
04765,America/New_York,-68.62648555257992,46.153165756708674
04766,America/New_York,-68.23911845027027,46.881632905063604
04768,America/New_York,-68.86891446935277,46.82637336792822
04769,America/New_York,-67.98735866578544,46.68667596342123
04978,America/New_York,-69.80139207296253,44.62909242793353
04979,America/New_York,-69.79265214597841,44.94292509923232
04449,America/New_York,-68.88387871194254,44.99775244838525
04450,America/New_York,-68.92799180606112,44.916048445062415
04451,America/New_York,-68.21036680828053,45.610863270894264
04453,America/New_York,-68.78504829982572,45.17185387891268
04454,America/New_York,-67.56420211229029,45.55611237403446
04455,America/New_York,-68.27476333413726,45.323449466618406
04456,America/New_York,-68.99766781371436,44.88646829281317
04457,America/New_York,-68.47831474730182,45.41619359135668
04459,America/New_York,-68.34059475758762,45.59413444727012
04460,America/New_York,-68.54580049585638,45.69378146105282
04461,America/New_York,-68.56866639043436,44.96415944405531
04462,America/New_York,-68.9804677188089,45.93591251969541
04463,America/New_York,-68.90619071784386,45.27520350038825
04464,America/New_York,-69.39808688201707,45.41857839711553
04772,America/New_York,-68.31316654185346,47.227320012960675
04773,America/New_York,-68.22327801020734,47.275999219871956
04774,America/New_York,-69.12427024370557,47.080030271331445
04776,America/New_York,-68.32327729087831,45.85096088644799
04777,America/New_York,-68.50730694459479,45.84781969660788
04779,America/New_York,-68.32296416384817,47.12213844726479
04780,America/New_York,-68.25257256453177,46.2375542794443
04781,America/New_York,-68.60923453868764,47.144340736916405
04783,America/New_York,-68.17588847187875,47.04258804045101
04785,America/New_York,-67.98687085052863,47.13002120294819
04981,America/New_York,-68.85330194012549,44.521538828765344
04982,America/New_York,-70.42302545684258,45.11159238911492
04983,America/New_York,-70.30907936310678,44.92273239087761
04984,America/New_York,-70.26212763055176,44.70126098083224
04985,America/New_York,-69.94306483901866,45.370842620523185
04986,America/New_York,-69.22255106401045,44.55294735852047
04987,America/New_York,-69.25361032738294,44.679136909897586
04468,America/New_York,-68.72752908226872,45.023091112252196
04469,America/New_York,-68.66831652202916,44.90105878155918
04786,America/New_York,-68.17880868569289,46.792087025089195
04988,America/New_York,-69.35973586112814,44.59590542516024
04989,America/New_York,-69.647908423883365,44.4297772109886
04992,America/New_York,-70.15992861012109,44.66301327451868
04471,America/New_York,-67.84708567207248,45.891005862987576
04472,America/New_York,-68.67727577502417,44.573613311061926
04473,America/New_York,-68.71716078264188,44.886510765518466
04474,America/New_York,-68.7790176784397,44.71498524780592
04475,America/New_York,-68.58713373489995,45.181498263919835
04476,America/New_York,-68.7087575585708,44.47500205906082
04478,America/New_York,-69.87697914005525,45.86355783110232
04479,America/New_York,-69.30703864954478,45.12757877888769
04481,America/New_York,-69.10212607944185,45.246450891692234
04485,America/New_York,-69.62016367970054,45.360953040914254
04487,America/New_York,-68.10188242984103,45.39050856122823
04488,America/New_York,-69.11137821703511,44.87591524883011
04489,America/New_York,-68.69017266019928,44.910384398309695
04490,America/New_York,-67.85545889173271,45.43348585585096
04491,America/New_York,-67.4693684144541,45.57016190753317
04492,America/New_York,-67.67797881020103,45.34916744938294
04493,America/New_York,-68.53374802076074,45.2378262106008
04495,America/New_York,-68.32997661198725,45.4547538211555
04496,America/New_York,-68.91189893355391,44.65840281388657
04497,America/New_York,-68.0514888576483,45.763533351395004
04530,America/New_York,-69.83059900860032,43.891574375282744
04535,America/New_York,-69.63437361463338,44.08776125979796
04537,America/New_York,-69.61733016588218,43.87570721225204
04538,America/New_York,-69.62780238757081,43.85175027621403
04787,America/New_York,-67.97683768482348,46.5516932805411
04841,America/New_York,-69.13610966281496,44.12703516138536
04843,America/New_York,-69.0719489715935,44.222892654809954
04847,America/New_York,-69.18958635828385,44.2510292955451
04848,America/New_York,-68.91819160377939,44.297832935127104
04849,America/New_York,-69.03279093375811,44.31890551412957
04539,America/New_York,-69.50668617257494,43.964214601669006
04541,America/New_York,-69.47624029652958,43.895008051429365
04543,America/New_York,-69.4921042793596,44.034468902897544
04544,America/New_York,-69.58561785468135,43.84436256424159
04547,America/New_York,-69.33489427672036,43.98065369031893
04548,America/New_York,-69.74845496743323,43.80751210107795
04551,America/New_York,-69.421349009322185,43.997338819907824
04553,America/New_York,-69.57146862608899,44.047865180528795
04554,America/New_York,-69.50613192189591,43.86393363547683
04555,America/New_York,-69.47690486166547,44.10597535140637
04556,America/New_York,-69.62313925272859,43.96866520877109
