postal_code,long,lat
21914,-75.98187270171978,39.57303089463579
01001,-72.62586067497777,42.06256529140662
34736,-81.89627889567578,28.55435989275748
46151,-86.43050719514382,39.447968242228406
48039,-82.5505404357794,42.69665127586678
01521,-72.16594954262887,42.06011451286813
49892,-87.78638544813995,45.78914966041071
70639,-93.49105772724988,30.984721275247903
64723,-94.55861129691728,38.36330431730205
64145,-94.59311479749817,38.87549752580583
48653,-84.60059404381306,44.48782657944556
08212,-74.95422904877611,38.93570784280574
07036,-74.2389364151449,40.625252489388785
12832,-73.31797694505919,43.370688720910465
39051,-89.50051406344942,32.78826036149725
39531,-88.96775364932336,30.4042190007488
38632,-90.00767713128805,34.800379743867005
27925,-76.1967134076162,35.84813503692731
28754,-82.51567411510541,35.87557657956606
07080,-74.41530649283531,40.57481859232241
11209,-74.03009634048983,40.62195557902924
74740,-94.59977147175228,33.79045625561792
29845,-82.20495423103101,33.826149426768026
29581,-79.11227981676046,34.198474781462444
37869,-83.24131077460669,36.51847464494397
37660,-82.57464130137109,36.52905719763095
37350,-85.35017733950612,34.99391480856625
79847,-104.97237082359142,31.806958447671352
79714,-102.6992832171499,32.32954899197277
75551,-94.20194446630619,33.11554618601222
79852,-103.6241634516092,29.403152615874635
24244,-82.78932130751195,36.71565812600466
24202,-82.21262254314831,36.66097196082745
23119,-76.28157161132053,37.446494752812754
17745,-77.47626791663419,41.27069852545423
15003,-80.21385325517444,40.601117375767956
24983,-80.52620731257028,37.58089908576615
24986,-80.19360941749379,37.90708165900108
25434,-78.44809981788227,39.45164721704667
19564,-75.87442788460021,40.521591035248704
18212,-75.7095743969051,40.775231842808026
54151,-87.9880766443433,45.72492199970184
35150,-86.2416789251002,33.1852722045696
36010,-85.8115895417491,31.668923433037932
36474,-86.6198473464705,31.42677813373719
36742,-87.73799389618713,32.464275195917594
35545,-87.9348256053821,33.651522711823866
72058,-92.37066355711006,35.24214580127445
72837,-93.10990309139649,35.50530417780712
72046,-91.95617343453387,34.55649402851481
36502,-87.4939566159132,31.140689193506244
19945,-75.2289168969502,38.504787954126506
19706,-75.5988018368984,39.572746366087124
19709,-75.68225422905387,39.48886330203081
34449,-82.6798579538575,29.083843510278044
31601,-83.34209555987577,30.751581432174106
60438,-87.55060945574164,41.56657868793821
46301,-86.98106905325037,41.68403676650824
66002,-95.13887268494189,39.540109368204796
71403,-93.43276556824256,31.214804100474606
30677,-83.3824113574782,33.79134441733939
71052,-93.6652112534069,32.0094255894612
64744,-93.9789265772054,37.850086954864004
63653,-90.59161025599258,37.860249757736206
63847,-90.0389197885095,36.439959849080196
63139,-90.29177103188012,38.61051996708693
03034,-71.3114101208481,43.06358117819566
03282,-71.9293278503689,43.86012113330564
07067,-74.31482660059581,40.59262541084988
07880,-74.88967294592175,40.87301668292781
07644,-74.08138326405478,40.878453321802304
10953,-74.07744082431371,41.40504670961767
13342,-75.19101941734102,42.65459780547714
11042,-73.69730256779884,40.75847527695655
10601,-73.76485620409802,41.03311948893429
11003,-73.70792120028385,40.701342725172
12222,-73.8253715837628,42.685347912158846
10308,-74.15037606239204,40.55151775298462
28092,-81.25451698046359,35.485759690888266
27217,-79.38338405585456,36.19271278497229
28711,-82.2901255608462,35.59859796333764
28666,-81.47062199214278,35.725178566121684
28602,-81.38612972183753,35.67611440897408
27841,-77.27623580979967,35.90855532607051
43055,-82.37652871941643,40.11784670310412
44443,-80.59835686426149,40.924393949758525
44039,-82.01958769500867,41.38472055575623
44471,-80.58966502641478,41.048459328507555
45836,-83.6398155220525,40.792664849430494
45899,-84.77461176589885,40.80054839938531
45328,-84.49679552614383,40.11610330901349
43117,-83.20578905477824,39.768589642913554
44690,-81.69389315476256,40.61421427047801
74048,-95.65216934622512,36.69191819527191
74468,-95.56807809534148,35.612159606117366
74368,-94.84860569158288,36.207544084875614
06022,-72.92732160814941,41.86544875370291
06074,-72.57331519298982,41.83527956731067
19710,-75.58814533947698,39.795030666842344
20307,-77.03030257082493,38.975003351068125
20009,-77.03751730721673,38.91995706046754
33897,-81.69025843703182,28.271732760669522
33067,-80.22610551756962,26.30774362383001
33776,-82.82632962369588,27.85008039558773
30204,-84.12515255367835,33.05728728710618
39842,-84.4367997338319,31.761311632222316
30114,-84.52575237692606,34.246926225950006
31634,-82.76725706468066,31.04000627333537
31827,-84.52699267910153,32.68708855412863
30175,-84.52905881137146,34.54322977837526
31213,-83.6393681425825,32.84005068614159
30627,-82.96066577585844,33.975493035002735
62538,-89.51991832874621,39.35639967238794
60472,-87.70878616679269,41.64376746665179
62009,-89.79837574073522,39.09110692737665
60104,-87.87643630381453,41.88282939182577
61848,-87.70277548762004,40.30805980732348
61553,-90.0324278341898,40.62592992419131
62352,-90.65009978712486,39.564536915293196
46235,-85.97636069455827,39.837723722979916
46635,-86.20852264977003,41.71488848840302
47337,-85.4373201092299,39.80245307234005
47382,-84.9175793200259,40.23632468717995
46045,-86.1501174730186,40.28870456324624
50642,-92.81271100350446,42.43975934273363
52644,-91.41496720663736,41.04002147915054
51020,-95.4117226654931,42.51063504790401
50168,-93.27442262035125,41.78065825758195
52255,-90.9613181462945,41.86363092618213
40205,-85.68262153587416,38.223452968524725
42544,-84.81664956443844,37.03400522843802
40057,-85.04232605479233,38.389401267238554
42450,-87.76331831914796,37.39614008337013
70634,-93.2396642139691,30.793927313249917
70748,-91.2054955903771,30.814018326902005
70810,-91.08307272898364,30.345405138457355
70722,-90.93156317966344,30.842465310825283
71409,-92.7073828870513,31.31965596779899
71424,-92.67218784301544,31.185211490874813
