storm_id,usa_atcf_id,date,tclat,tclon
Arlene-2017,AL012017,2017-04-16T21:30:00Z,33.97447229217464,-48.17080028644106
Arlene-2017,AL012017,2017-04-16T21:45:00Z,33.94519384509447,-48.13262494268108
Arlene-2017,AL012017,2017-04-16T22:00:00Z,33.91623630684699,-48.094595184972945
Arlene-2017,AL012017,2017-04-16T22:15:00Z,33.8876319381085,-48.05674769480685
Arlene-2017,AL012017,2017-04-16T22:30:00Z,33.85941299955529,-48.01911915367303
Arlene-2017,AL012017,2017-04-16T22:45:00Z,33.83161175186367,-47.98174624306169
Arlene-2017,AL012017,2017-04-16T23:00:00Z,33.804260455709944,-47.944665644463065
Arlene-2017,AL012017,2017-04-16T23:15:00Z,33.77739137177041,-47.90791403936736
Arlene-2017,AL012017,2017-04-16T23:30:00Z,33.751036760721384,-47.8715281092648
Arlene-2017,AL012017,2017-04-16T23:45:00Z,33.72522888323914,-47.83554453564561
Arlene-2017,AL012017,2017-04-17T00:00:00Z,33.7,-47.8
Arlene-2017,AL012017,2017-04-17T00:15:00Z,33.67537137031788,-47.76491859597016
Arlene-2017,AL012017,2017-04-17T00:30:00Z,33.65132024805717,-47.73027406580617
Arlene-2017,AL012017,2017-04-17T00:45:00Z,33.62781288571987,-47.69602756391008
Arlene-2017,AL012017,2017-04-17T01:00:00Z,33.604815535807994,-47.66214024468393
Arlene-2017,AL012017,2017-04-17T01:15:00Z,33.58229445082355,-47.62857326252977
Arlene-2017,AL012017,2017-04-17T01:30:00Z,33.56021588326853,-47.59528777184964
Arlene-2017,AL012017,2017-04-17T01:45:00Z,33.53854608564496,-47.56224492704559
Arlene-2017,AL012017,2017-04-17T02:00:00Z,33.517251310454846,-47.529405882519676
Arlene-2017,AL012017,2017-04-17T02:15:00Z,33.49629781020018,-47.49673179267393
Arlene-2017,AL012017,2017-04-17T02:30:00Z,33.47565183738298,-47.464183811910395
Arlene-2017,AL012017,2017-04-17T02:45:00Z,33.45527964450526,-47.43172309463114
Arlene-2017,AL012017,2017-04-17T03:00:00Z,33.43514748406901,-47.399310795238186
Arlene-2017,AL012017,2017-04-17T03:15:00Z,33.41522160857625,-47.3669080681336
Arlene-2017,AL012017,2017-04-17T03:30:00Z,33.39546827052899,-47.33447606771941
Arlene-2017,AL012017,2017-04-17T03:45:00Z,33.37585372242922,-47.301975948397676
Arlene-2017,AL012017,2017-04-17T04:00:00Z,33.356344216778965,-47.26936886457044
Arlene-2017,AL012017,2017-04-17T04:15:00Z,33.33690600608022,-47.23661597063975
Arlene-2017,AL012017,2017-04-17T04:30:00Z,33.31750534283499,-47.20367842100764
Arlene-2017,AL012017,2017-04-17T04:45:00Z,33.2981084795453,-47.17051737007617
Arlene-2017,AL012017,2017-04-17T05:00:00Z,33.27868166871314,-47.137093972247385
Arlene-2017,AL012017,2017-04-17T05:15:00Z,33.25919116284052,-47.10336938192333
Arlene-2017,AL012017,2017-04-17T05:30:00Z,33.23960321442946,-47.06930475350605
Arlene-2017,AL012017,2017-04-17T05:45:00Z,33.219884075981945,-47.03486124139759
Arlene-2017,AL012017,2017-04-17T06:00:00Z,33.2,-47
Arlene-2017,AL012017,2017-04-17T06:15:00Z,33.179925517528645,-46.964693973872656
Arlene-2017,AL012017,2017-04-17T06:30:00Z,33.15966827378498,-46.928963268204264
Arlene-2017,AL012017,2017-04-17T06:45:00Z,33.139244192529105,-46.89283977834087
Arlene-2017,AL012017,2017-04-17T07:00:00Z,33.11866919752115,-46.856355399628505
Arlene-2017,AL012017,2017-04-17T07:15:00Z,33.097959212521225,-46.81954202741322
Arlene-2017,AL012017,2017-04-17T07:30:00Z,33.07713016128944,-46.78243155704104
Arlene-2017,AL012017,2017-04-17T07:45:00Z,33.05619796758591,-46.74505588385802
Arlene-2017,AL012017,2017-04-17T08:00:00Z,33.03517855517075,-46.7074469032102
Arlene-2017,AL012017,2017-04-17T08:15:00Z,33.014087847804085,-46.66963651044361
Arlene-2017,AL012017,2017-04-17T08:30:00Z,32.992941769246016,-46.631656600904286
Arlene-2017,AL012017,2017-04-17T08:45:00Z,32.97175624325666,-46.59353906993829
Arlene-2017,AL012017,2017-04-17T09:00:00Z,32.95054719359613,-46.555315812891635
Arlene-2017,AL012017,2017-04-17T09:15:00Z,32.929330544024545,-46.517018725110375
Arlene-2017,AL012017,2017-04-17T09:30:00Z,32.90812221830201,-46.47867970194056
Arlene-2017,AL012017,2017-04-17T09:45:00Z,32.886938140188654,-46.440330638728206
Arlene-2017,AL012017,2017-04-17T10:00:00Z,32.86579423344458,-46.40200343081938
Arlene-2017,AL012017,2017-04-17T10:15:00Z,32.84470642182991,-46.3637299735601
Arlene-2017,AL012017,2017-04-17T10:30:00Z,32.82369062910475,-46.32554216229641
Arlene-2017,AL012017,2017-04-17T10:45:00Z,32.80276277902922,-46.287471892374356
Arlene-2017,AL012017,2017-04-17T11:00:00Z,32.78193879536344,-46.249551059139975
Arlene-2017,AL012017,2017-04-17T11:15:00Z,32.76123460186751,-46.21181155793931
Arlene-2017,AL012017,2017-04-17T11:30:00Z,32.74066612230155,-46.174285284118405
Arlene-2017,AL012017,2017-04-17T11:45:00Z,32.720249280425676,-46.13700413302328
Arlene-2017,AL012017,2017-04-17T12:00:00Z,32.7,-46.1
Arlene-2017,AL012017,2017-04-17T12:15:00Z,32.679933793363844,-46.06329914279848
Arlene-2017,AL012017,2017-04-17T12:30:00Z,32.66006452717331,-46.026905268784176
Arlene-2017,AL012017,2017-04-17T12:45:00Z,32.64040565666372,-45.990816447726445
Arlene-2017,AL012017,2017-04-17T13:00:00Z,32.620970637070386,-45.95503074939464
Arlene-2017,AL012017,2017-04-17T13:15:00Z,32.601772923628616,-45.9195462435581
Arlene-2017,AL012017,2017-04-17T13:30:00Z,32.582825971573726,-45.884360999986185
Arlene-2017,AL012017,2017-04-17T13:45:00Z,32.564143236141035,-45.849473088448235
Arlene-2017,AL012017,2017-04-17T14:00:00Z,32.545738172565855,-45.81488057871361
Arlene-2017,AL012017,2017-04-17T14:15:00Z,32.5276242360835,-45.78058154055165
Arlene-2017,AL012017,2017-04-17T14:30:00Z,32.50981488192927,-45.74657404373171
Arlene-2017,AL012017,2017-04-17T14:45:00Z,32.492323565338495,-45.712856158023136
Arlene-2017,AL012017,2017-04-17T15:00:00Z,32.47516374154649,-45.67942595319528
Arlene-2017,AL012017,2017-04-17T15:15:00Z,32.45834886578855,-45.64628149901748
Arlene-2017,AL012017,2017-04-17T15:30:00Z,32.44189239330001,-45.61342086525911
Arlene-2017,AL012017,2017-04-17T15:45:00Z,32.425807779316166,-45.58084212168949
